1,삼성전자,"55,050","하락
				1,550",-2.74%,100,"3,258,761","5,919,638",50.18,"7,849,304",11.12,9.03,
2,SK하이닉스,"175,100","하락
				5,500",-3.05%,"5,000","1,274,732","728,002",53.73,"1,630,737",6.44,31.06,
3,LG에너지솔루션,"344,500","하락
				500",-0.14%,500,"806,130","234,000",4.40,"87,176",-79.12,-4.93,
4,삼성바이오로직스,"1,029,000","하락
				5,000",-0.48%,"2,500","732,380","71,174",13.13,"13,209",67.60,10.45,
5,현대차,"184,000","하락
				3,000",-1.60%,"5,000","385,326","209,416",35.93,"310,480",4.00,12.43,
6,삼성전자우,"45,650","하락
				1,050",-2.25%,100,"372,492","815,975",74.16,"382,053",9.22,N/A,
7,한화에어로스페이스,"788,500","상승
				17,500",+2.27%,"5,000","359,407","45,581",47.09,"138,583",16.80,53.94,
8,셀트리온,"159,800",보합0,0.00%,"1,000","356,767","223,258",22.40,"182,893",86.15,2.46,
9,기아,"85,500","하락
				300",-0.35%,"5,000","340,010","397,673",38.72,"245,565",3.50,19.09,
10,HD현대중공업,"356,500","상승
				3,000",+0.85%,"5,000","316,476","88,773",9.90,"143,805",50.92,11.39,
11,KB금융,"78,800","상승
				800",+1.03%,"5,000","310,100","393,528",74.78,"285,672",6.20,8.86,
12,NAVER,"185,200","상승
				1,300",+0.71%,100,"293,425","158,437",48.48,"207,270",15.55,7.90,
13,한화오션,"78,300","하락
				1,100",-1.39%,"5,000","239,922","306,413",11.15,"1,192,533",45.42,11.52,
14,신한지주,"47,250","상승
				150",+0.32%,"5,000","237,878","503,445",57.92,"351,195",5.41,8.11,
15,현대모비스,"242,000","상승
				500",+0.21%,"5,000","225,048","92,995",41.91,"32,733",5.57,9.35,
16,메리츠금융지주,"113,800","하락
				400",-0.35%,500,"210,108","184,629",16.05,"80,319",9.57,23.44,
17,POSCO홀딩스,"255,000","하락
				2,500",-0.97%,"5,000","206,379","80,933",29.43,"66,419",19.51,2.00,
18,삼성물산,"115,000","하락
				400",-0.35%,100,"195,473","169,977",27.82,"34,699",9.36,6.83,
19,크래프톤,"378,500","상승
				9,500",+2.57%,100,"181,343","47,911",41.60,"58,629",13.93,21.10,
20,HMM,"19,280","상승
				60",+0.31%,"5,000","169,864","881,039",9.49,"343,762",3.81,15.35,
21,카카오,"38,100","하락
				750",-1.93%,100,"169,115","443,872",27.95,"650,703",307.26,0.56,
22,삼성화재,"350,500","하락
				500",-0.14%,500,"166,049","47,375",53.61,"12,238",8.55,13.11,
23,하나금융지주,"57,700","상승
				400",+0.70%,"5,000","165,738","287,241",66.56,"157,732",4.48,9.11,
24,HD한국조선해양,"228,500","상승
				2,500",+1.11%,"5,000","161,717","70,773",31.58,"74,270",13.79,11.16,
25,삼성생명,"79,300","하락
				200",-0.25%,500,"158,600","200,000",21.69,"31,393",7.53,6.18,
26,한국전력,"24,350","상승
				200",+0.83%,"5,000","156,318","641,964",16.82,"906,571",4.48,9.22,
27,LG화학,"220,500","하락
				4,500",-2.00%,"5,000","155,656","70,592",31.01,"89,174",-24.99,-2.11,
28,두산에너빌리티,"23,850","하락
				250",-1.04%,"5,000","152,774","640,561",23.68,"1,415,226",137.07,1.52,
29,SK이노베이션,"95,800","하락
				1,900",-1.94%,"5,000","144,691","151,035",13.72,"125,538",-4.51,-9.65,
30,고려아연,"686,000","하락
				8,000",-1.15%,"5,000","142,025","20,703",12.28,"3,123",74.65,2.28,
31,KT&G,"109,900","상승
				2,100",+1.95%,"5,000","134,147","122,062",43.86,"121,727",12.25,12.66,
