1,삼성전자,"55,050","하락
				1,550",-2.74%,100,"3,258,761","5,919,638",50.18,"7,831,962",11.12,9.03,
2,SK하이닉스,"175,200","하락
				5,400",-2.99%,"5,000","1,275,460","728,002",53.73,"1,624,475",6.45,31.06,
3,LG에너지솔루션,"345,000",보합0,0.00%,500,"807,300","234,000",4.40,"86,658",-79.24,-4.93,
4,삼성바이오로직스,"1,028,000","하락
				6,000",-0.58%,"2,500","731,669","71,174",13.13,"13,126",67.54,10.45,
5,현대차,"183,900","하락
				3,100",-1.66%,"5,000","385,116","209,416",35.93,"309,608",3.99,12.43,
6,삼성전자우,"45,700","하락
				1,000",-2.14%,100,"372,900","815,975",74.16,"380,587",9.23,N/A,
7,한화에어로스페이스,"789,000","상승
				18,000",+2.33%,"5,000","359,635","45,581",47.09,"138,447",16.81,53.94,
8,셀트리온,"159,900","상승
				100",+0.06%,"1,000","356,990","223,258",22.40,"182,060",86.20,2.46,
9,기아,"85,400","하락
				400",-0.47%,"5,000","339,612","397,673",38.72,"245,195",3.50,19.09,
10,HD현대중공업,"357,500","상승
				4,000",+1.13%,"5,000","317,364","88,773",9.90,"143,161",51.06,11.39,
11,KB금융,"78,700","상승
				700",+0.90%,"5,000","309,707","393,528",74.78,"282,414",6.19,8.86,
12,NAVER,"185,300","상승
				1,400",+0.76%,100,"293,584","158,437",48.48,"205,107",15.55,7.90,
13,한화오션,"78,400","하락
				1,000",-1.26%,"5,000","240,228","306,413",11.15,"1,189,888",45.48,11.52,
14,신한지주,"47,300","상승
				200",+0.42%,"5,000","238,130","503,445",57.92,"346,743",5.41,8.11,
15,현대모비스,"241,000","하락
				500",-0.21%,"5,000","224,118","92,995",41.91,"32,375",5.54,9.35,
16,메리츠금융지주,"113,800","하락
				400",-0.35%,500,"210,108","184,629",16.05,"79,118",9.57,23.44,
17,POSCO홀딩스,"255,500","하락
				2,000",-0.78%,"5,000","206,784","80,933",29.43,"66,257",19.54,2.00,
18,삼성물산,"115,000","하락
				400",-0.35%,100,"195,473","169,977",27.82,"34,619",9.36,6.83,
19,크래프톤,"378,500","상승
				9,500",+2.57%,100,"181,343","47,911",41.60,"58,041",13.93,21.10,
20,HMM,"19,290","상승
				70",+0.36%,"5,000","169,953","881,039",9.49,"341,374",3.82,15.35,
21,카카오,"38,150","하락
				700",-1.80%,100,"169,337","443,872",27.95,"649,461",307.66,0.56,
22,삼성화재,"351,000",보합0,0.00%,500,"166,286","47,375",53.61,"12,035",8.56,13.11,
23,하나금융지주,"57,600","상승
				300",+0.52%,"5,000","165,451","287,241",66.56,"155,145",4.47,9.11,
24,HD한국조선해양,"228,500","상승
				2,500",+1.11%,"5,000","161,717","70,773",31.58,"73,944",13.79,11.16,
25,삼성생명,"79,600","상승
				100",+0.13%,500,"159,200","200,000",21.69,"29,298",7.56,6.18,
26,한국전력,"24,400","상승
				250",+1.04%,"5,000","156,639","641,964",16.82,"903,300",4.49,9.22,
